Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA_mm2,leafC.mg.g,leafN.mg.g,height.m,rootC.mg.g,rootN.mg.g,seed.dry.mass.mg,SLA_m2/kg,leaf.thickness.mm,root.depth_m,RTD.g.cm3,fineRTD,LDMC.g.g,SRL_m/g,fineSRL_m/g,rootDiam.mm,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,SOURCES
DIOSPYROS VIRGINIANA,Accepted,DIOSPYROS VIRGINIANA,,,,28.2,9.457333333,451.6514167,16.71939583,243.7733015,11.37839081,,0.9144,0.133833333,,0.373820786,22.87048611,,0.589423176,,,"RootC and N, RTD, SRL, Diam from groot",,Sandhills,Ebenaceae,SHRUB,PERENNIAL,WOODY,
LEONTODON HISPIDUS,Accepted,LEONTODON HISPIDUS,,1590.076429,430.9851277,23.92644618,0.371,420.5131679,11.53789754,1.005874872,27.0408515,0.1995,0.3,0.134462153,,0.150660896,204.9072943,,0.273284146,,,"RootC and N, RTD, SRL, diam from groot",,"Allmend Ovina, EE Elva, Jena, Pineta",Compositae,FORB,PERENNIAL,FORB,
LIATRIS ASPERA,Accepted,LIATRIS ASPERA,,276.6349233,445.1498,12.33641253,0.68,40.1,20.498833,1.925,17.00092904,0.39,,0.135313282,,0.219711357,193.6403191,,0.335858333,,,"RootC and N, RTD, SRL, Diam from groot",,"Cedar Creek Savanna, Cedar Creek Trait ",Compositae,FORB,PERENNIAL,FORB,
MORELLA CERIFERA,Accepted,MORELLA CERIFERA,,,,,5.823692308,466.0747147,12.65043574,6.886299804,16.30496347,,0.508,0.136588343,,,42.07931829,,0.313333333,,,"RootC and N, RTD, SRL, Diam from groot",,Sandhills,Myricaceae,SHRUB,PERENNIAL,WOODY,
BROMUS HORDEACEUS,Accepted,BROMUS HORDEACEUS,,250.75,421.1,25.57289667,0.6899,398.7,10.2,2.302186894,27.25455017,0.166,0.254,0.137083333,,0.289967778,471.2364007,,0.2,,0.307,RTD and SRL from Groot,,"Bad Drought, Jena, SantaCruzHigh, SantaCruzLow",Poaceae,GRASS,ANNUAL,GRASS,
DACTYLIS GLOMERATA,Accepted,DACTYLIS GLOMERATA,,951.1257079,433.6988474,25.72069341,0.671309259,412.6571429,10.15714286,0.920318657,26.04843708,0.120579048,0.3048,0.138583824,,0.240117842,304.2076965,,0.142857143,,,"RTD, SRL from groot",,"Bad Drought, Bayreuth_DroughtNet, Cowichan Drt, Middle Ebro Valley, EE Elva, Jena, Pineta, Rhijnauwen, Validate",Poaceae,GRASS,PERENNIAL,GRASS,
PLANTAGO LANCEOLATA,Accepted,PLANTAGO LANCEOLATA,,2567,413.4820201,25.695,0.320146825,360.1703583,23.59846931,1.601957942,23.55,0.280583333,0.57,0.138912722,,0.145895971,225.0999155,,0.228368317,,0.556,"depth, RTD, SRL diam from groot",,"Allmend Brachy, Allmend Ovina, Bad Drought, Bayreuth_DroughtNet, Las Chilcas Drt, Cowichan Drt, Quebrada de Talca North Facing, Quebrada de Talca South Facing, Rhijnauwen, SantaCruzHigh, Yarramundi Drt",Plantaginaceae,FORB,PERENNIAL,FORB,
ACHILLEA MILLEFOLIUM,Accepted,ACHILLEA MILLEFOLIUM,,238.2404762,411.652,19.234,0.559,409.65,4.8,0.14,7.859942857,0.2751,0.2032,0.138977909,,0.27415,35.26726667,,0.26778,56.00567705,2.45685,"Leaf N, SLA, height from PI","RTD, SRL, Diam from Justin","Allmend Brachy,Allmend Ovina,Bad Drought, Bayreuth_DroughtNet, Brookdale, Cedar Creek Trait, CMSS, Cowichan Drt, EE Elva, Hardware Ranch, Jena, Kernen_burned, Kernen_unburned, Kinsella, Matador, Oklahoma (KAEFS-OK), ORE IDE AC, Rhijnauwen, SantaCruzLow",Compositae,FORB,PERENNIAL,FORB,
PANICUM CAPILLARE,Accepted,PANICUM CAPILLARE,,628.84,414.7604904,17.0314031,0.43545,,,0.288157576,27.43942379,0.2,0.62,0.14,,0.306322317,218,,0.1917,,,"RTD, SRL, Diam from groot",,Konza Drt,Poaceae,GRASS,ANNUAL,GRASS,
GALIUM VERUM,Accepted,GALIUM VERUM,,15.66666667,446.0872868,21.6094737,0.516038889,381.9120613,11.75956766,0.47402674,17.72121934,0.242766667,0.7266667,0.140178711,,0.241920278,402.3842917,1.744346744,0.122981034,,2.265,"RootC and N, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina, Pineta",Rubiaceae,FORB,PERENNIAL,FORB,
SETARIA PARVIFLORA,Accepted,SETARIA PARVIFLORA,,,,17.972,0.316785714,,,0.981,26.31,0.0969,,0.14029,,0.254,,,0.045,,,,,"Las Chilcas Drt, EEA, Yarramundi Drt",Poaceae,NULL,NULL,GRASS,
HYPOCHAERIS RADICATA,Unresolved,kinsella.ca,synonym: Hypochoeris radicata,1797.333194,452.441186,17.75,0.3505,414.0822334,5.956457605,0.765818694,28.74506187,0.35455,0.5475,0.14089564,,0.116,151.7703194,,0.261638779,,1.17527017,"RootC and N, depth, RTD, SLR, diam from groot",,"Bad Drought, Bayreuth_DroughtNet, Broken Hill, Charleville, Falls Creek, La Campana North Facing, La Campana South Facing, Quilpie, Rhijnauwen, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle, San Pablo Valdes Drt, Yarramundi Drt",Compositae,FORB,PERENNIAL,FORB,
LATHYRUS PRATENSIS,Accepted,LATHYRUS PRATENSIS,,158.3333333,498.0770836,39.68831026,0.475733333,415.3809666,25.11541,12.83755633,24.99129113,0.204,1.18,0.141833333,,0.273666667,63.29727228,,0.4965,,,"RootC, RTD, SRL, diam from groot",,"EE Elva, Rhijnauwen",Fabaceae,LEGUME,PERENNIAL,LEGUME,
RUBIA PEREGRINA,Accepted,RUBIA PEREGRINA,,303,417,13.1,0.25275,389.7,13.4,24.96151667,14.4517037,,0.143,0.143,,0.228473333,104.1,,0.3625,,,"RootC and N, RTD, SRL, diam from groot",,Ayora Experimental Station,Rubiaceae,VINE,PERENNIAL,FORB,
BAPTISIA ALBA,Accepted,BAPTISIA ALBA,,1142.31,449.7,38.8,0.566,,,16.1,10.46479935,0.21,,0.143056646,,0.248328025,146.141189,,0.309371429,,,"Diam, RTD, SRL from groot",,Cedar Creek Trait,Fabaceae,FORB,PERENNIAL,LEGUME,
RUDBECKIA HIRTA,Accepted,RUDBECKIA HIRTA,,,380.4,28.33854,0.48345,,21.64598,0.263770653,19.67108394,0.24,0.254,0.14325585,,0.211065384,119.2626432,,0.2691575,,,"RootN, RTD, SRL, diam from groot",,"BFL, Oklahoma (KAEFS-OK), Purdue Wildlife Area, SLP",Compositae,FORB,ANNUAL,FORB,
PLANTAGO MEDIA,Accepted,PLANTAGO MEDIA,,4827.666667,423.42,21.618,0.343555556,420.0148,20.97373175,0.341608333,19.41312728,,1.265,0.14470696,,0.145333333,247.0511695,,0.251542857,,,"rootC and N, RTD, SRL diam from groot",,Pineta,Plantaginaceae,FORB,NULL,FORB,
CAMPANULA ROTUNDIFOLIA,Accepted,CAMPANULA ROTUNDIFOLIA,,73.39830818,391,21.08333333,0.452,422.7817307,13.14618087,0.062491111,22.94812699,0.176,1.125,0.146551312,,0.274815946,475.6578007,,0.141566667,,3.481,"rootC and N, RTD, SRL, diam from groot",,"Biddulph, Brookdale, Cedar Creek Savanna, Kernen_burned, Kernen_unburned, Konza Drt",Campanulaceae,FORB,PERENNIAL,FORB,
FALCARIA VULGARIS,Accepted,FALCARIA VULGARIS,,,,,1.2613,,,,13.0375,,1.8,0.147,,,216.667,,1.15043,,,,,Jena,Apiaceae,FORB,PERENNIAL,FORB,
CORNUS SUECICA,Accepted,CORNUS SUECICA,,293.1291667,460.8104651,19.69489943,0.171111111,465.550429,7.812801366,3.42,32.24866466,0.1685,,0.1481156,,0.21195511,,,,59.58815631,,RootC and N from groot,,Lygra_intermediate,Cornaceae,FORB,NULL,WOODY,
HEDEOMA HISPIDA,Accepted,HEDEOMA HISPIDA,,,,,0.14225,,,0.195,21.38832049,0.3,,0.15,,0.239350558,166,,0.22,,0.0706,"RTD, SLR, Diam from groot",,Oklahoma (KAEFS-OK),Lamiaceae,FORB,ANNUAL,FORB,
SYMPHYOTRICHUM LANCEOLATUM,Accepted,SYMPHYOTRICHUM LANCEOLATUM,,,333.6,25.1,1.8288,,,0.36499931,12.754,,0.2032,0.15,,,68,,0.36,,,,,ESW,Compositae,FORB,PERENNIAL,FORB,
HELIANTHEMUM APENNINUM,Accepted,HELIANTHEMUM APENNINUM,,,434.7,22.11,,352.2,9.865,,13.4,,0.31,0.15028831,,,59.38651,,0.338844725,,,"RootC and N, RTD, SRL, Diam from groot",,Ayora Experimental Station,Cistaceae,SUBSHRUB,PERENNIAL,WOODY,
SYMPHYOTRICHUM ERICOIDES,Accepted,SYMPHYOTRICHUM ERICOIDES,,29.73,385.5,12.6,0.7802222,,11.01821,0.113666667,20.14194711,,0.76,0.151923077,,0.273989029,73.83666667,,0.3263,,,"RootN, depth, RTD, SRL, diam from groot",,"Brookdale, Cedar Creek Savanna, ESW, Hardware Ranch, Kernen_burned, Kernen_unburned, Konza Drt, Matador, Mattheis, Oklahoma (KAEFS-OK)",Compositae,FORB,PERENNIAL,FORB,
SALIX HERBACEA,Accepted,SALIX HERBACEA,,140.4742179,540.3332123,23.22611667,0.034166667,,10.25,0.291333333,16.45337359,0.18925,,0.152,,,,,0.92,,,,,Passo Gavia,Salicaceae,SHRUB,PERENNIAL,WOODY,
SALIX REPENS,Accepted,SALIX REPENS,,138.6528571,,17.00382579,0.812,,5.44,0.044,12.90991206,,0.2303,0.152,,0.390733,,,,,,RootN from groot,,HOIDE,Salicaceae,SHRUB,PERENNIAL,WOODY,
PSEUDOROEGNERIA SPICATA,Synonym,ELYMUS SPICATUS,"synonym already list, at different sites",,,,0.267,,,,23.893,,,0.153771092,,0.027189675,103.8213416,,0.237714286,,,"RTD, SRL, diam from groot",,Hardware Ranch,Poaceae,GRASS,PERENNIAL,GRASS,
HELIOPSIS HELIANTHOIDES,Accepted,HELIOPSIS HELIANTHOIDES,,,,,1.2745,,,4.661,19.34129566,0.37,,0.155412644,,0.197167141,61.30678286,,0.38123125,,,"RTD, SLR, Diam from groot",,"Brookdale, Purdue Wildlife Area",Compositae,FORB,PERENNIAL,FORB,
PHLEUM PRATENSE,Accepted,PHLEUM PRATENSE,,336.625,456.3247103,18.59699785,0.844195238,414.4333333,9.9,0.395387807,23.72403526,0.088333333,0.254,0.155576899,,0.302557054,393.5587203,,0.133333333,,0.427,"RTD, SRL from groot",,"Bayreuth_DroughtNet, EE Elva, Rhijnauwen",Poaceae,GRASS,PERENNIAL,GRASS,
ANTENNARIA NEGLECTA,Accepted,ANTENNARIA NEGLECTA,,280.392619,424.2126667,14.85633333,0.3048,,,0.078206998,17.70998319,0.21,0.2286,0.15753416,,,118.3340008,,0.277125,,,"diam, RTD, SRL from Groot",,Konza Drt,Compositae,FORB,PERENNIAL,FORB,
CHAMAECRISTA FASCICULATA,Accepted,CHAMAECRISTA FASCICULATA,,1030,,39.6,0.73152,,,7.835149263,20.88,0.11,0.3556,0.162591084,,,96.91819095,,0.2980125,,,"diam, RTD, SRL from groot",,"Oklahoma (KAEFS-OK), Sandhills",Fabaceae,FORB,ANNUAL,LEGUME,
TRIFOLIUM PRATENSE,Accepted,TRIFOLIUM PRATENSE,,525.75,479.3119978,40.4444317,0.389308642,402.488777,21.07704,1.63706038,27.55091965,0.13925,0.3048,0.16269724,,0.255988849,184.5175823,,0.256183381,,,"RootC, RTD, SRL, diam from groot",,"Allmend Brachy, Bayreuth_DroughtNet, EE Elva, ESW, La Campana North Facing, La Campana South Facing, Pineta, Rhijnauwen",Fabaceae,FORB,PERENNIAL,LEGUME,
MONARDA FISTULOSA,Accepted,MONARDA FISTULOSA,,1170,474.1,11.29051118,0.662,,17.87547,0.355304139,26.21085308,0.25,0.1016,0.165191358,,0.251001626,93.37285277,,0.28925,63.17694582,0.0945,"RootN, RTD, SRL, Diam from groot",,Cedar Creek Trait,Lamiaceae,FORB,PERENNIAL,FORB,
TRISETUM FLAVESCENS,Accepted,TRISETUM FLAVESCENS,,385,440.2900246,27.09907954,0.532263158,429.3199492,8.795034255,0.31865,22.11711414,0.177777778,0.44,0.166445278,,0.280320712,447.4973772,,0.175392308,,,"RootC, RTD, SRL, diam from groot",,"Bayreuth_DroughtNet, Rhijnauwen, Validate",Poaceae,GRASS,PERENNIAL,GRASS,
RUMEX ACETOSELLA,Accepted,RUMEX ACETOSELLA,,312.3011333,433.05,34.93757406,0.235714286,442,18.76112,0.585597813,86,26.0517312,0.342666667,0.166783945,,0.128587636,45.4288076,,0.262467915,,0.191822554,"RootC, RTD, diam from groot",,"Cedar Creek Trait, Falls Creek, SantaCruzMiddle",Polygonaceae,FORB,PERENNIAL,FORB,
LIATRIS PUNCTATA,Accepted,LIATRIS PUNCTATA,,121.275,,16.817,0.6096,,,12.93962196,9.8333502,0.41,0.3556,0.16753096,,0.312267,118.8077502,,0.3044,,,"RTD, SRL, Diam from groot, leaf N from Julie Larson",,"BFL, Biddulph, Cedar Point - Drought-Net",Compositae,FORB,PERENNIAL,FORB,
CAREX FLACCA,Accepted,CAREX FLACCA,,604.82,477,17.07498081,0.37125,451.1,4.956666667,0.907915278,14.4018786,,0.83,0.169025277,,0.33475,218.7926062,,0.380313725,,1.093116308,"diam, RTD, SRL, rootC and N from groot",,"Allmend Brachy, Allmend Ovina",Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,
DESCHAMPSIA CESPITOSA,Accepted,DESCHAMPSIA CESPITOSA,,314.9073162,465.8274569,19.38145224,0.623466667,435.2656427,9.504294333,0.272182639,15.38069921,0.3725,1.23,0.170736151,,0.337972358,364.9892355,,0.206048414,39.800586,,"RootC and N, RTD, SRL, Diam from groot",,Potrok Aike Drt,Poaceae,GRASS,PERENNIAL,GRASS,
TRAGOPOGON PRATENSIS,Accepted,TRAGOPOGON PRATENSIS,,1507.5,429.5,27,0.575,447.323052,20.30344663,5.710336364,22.41578318,,,0.170824899,,0.187391952,150.3177187,,0.287861111,,,"RootC and N, RTD, SRL, diam from groot",,"Bad Drought, Jena, SantaCruzLow, SantaCruzMiddle",Compositae,FORB,PERENNIAL,FORB,
DALEA PURPUREA,Accepted,DALEA PURPUREA,,67.37,410,14.1,0.5272,,13.9583,2.700333333,13.02080619,0.2,1.525,0.174143261,,0.284704385,73.40507735,,0.341785714,,,"RootN, RTD, SRL, depth, diam from groot",,Oklahoma (KAEFS-OK),Fabaceae,FORB,PERENNIAL,LEGUME,
BROMUS ERECTUS,Accepted,BROMUS ERECTUS,,595.375,421,18.81892435,0.717333333,365.9310674,7.243150315,3.820615152,21.09580137,0.55045,0.894,0.174709631,,0.312719258,157.1212818,,0.273789089,,,"RootC and N, depth, RTD, SRL, Diam, from groot",,"Allmend Brachy, Allmend Ovina",Poaceae,GRASS,PERENNIAL,GRASS,
LIRIODENDRON TULIPIFERA,Accepted,LIRIODENDRON TULIPIFERA,,,,25.35214926,46.30266667,414.8402497,16.73700827,48.91049883,28.13,,0.8128,0.177367326,,,12.04094018,,0.772647695,,,"RootC and N, RTD, SRL, Diam from groot",,Indiana University RTP,Magnoliaceae,TREE,PERENNIAL,WOODY,
LEUCANTHEMUM VULGARE,Accepted,LEUCANTHEMUM VULGARE,,437.3333333,437.6016277,30.26796208,0.53192,440.6744074,9.640667198,0.855828551,17.80983272,0.19,0.2032,0.178238532,,0.162361988,205.5962002,,0.23427,,,"RootC and N, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina, Bad Drought, Cowichan Drt, EE Elva, Rhijnauwen",Compositae,FORB,PERENNIAL,FORB,
BRIZA MEDIA,Accepted,BRIZA MEDIA,,644,471.8566667,19.10016667,0.41946,394.2,2.042559524,0.363485185,20.92775774,0.14667,0.52,0.179667951,,0.294116667,288.6987236,,0.171363333,,0.515,"RootC and N, RTD, SRL, Diam from Groot",,"Allmend Brachy, Allmend Ovina, EE Elva, Rhijnauwen",Poaceae,GRASS,"PERENNIAL, Annual (Jilpanger)",GRASS,
AGASTACHE FOENICULUM,Accepted,AGASTACHE FOENICULUM,,,,14.7,,,,0.265,15.29,0.41,0.124,0.18,,0.17155,56.33396667,,0.42,,,"diam, RTD, depth, SRL from Groot",,Ukulinga Drought,Compositae,FORB,PERENNIAL,FORB,
CALAMOVILFA LONGIFOLIA,Accepted,CALAMOVILFA LONGIFOLIA,,933.7365625,462.51125,13.59,0.968,,5.2246,1.36645721,10.96892152,0.22,0.508,0.18,,,33,,0.48,,,"RootN, Diam, RTD, SRL from groot",,"Biddulph, Cedar Creek Savanna",Poaceae,GRAMINOID,PERENNIAL,GRASS,
ERIOPHORUM ANGUSTIFOLIUM,Accepted,ERIOPHORUM ANGUSTIFOLIUM,,1422.787143,539.1661895,20.00955403,0.392104,,5.5,1.074778986,13.32708698,0.498,0.2895,0.18,,0.342,37.5,,0.7875,,,Diam from groot,,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,
FESTUCA OVINA,Accepted,FESTUCA OVINA,,92.44006667,454.8216075,16.78631631,0.414347827,451.0411777,7.790299962,0.986487336,16.83674211,0.245561111,0.254,0.18,,0.37962724,180.6632143,0.205406167,0.02,,0.401,"RootC and N, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina",Poaceae,GRASS,PERENNIAL,GRASS,
PHLOX HOODII,Accepted,PHLOX HOODII,,3.0829593,,23.27,0.02825,,,1,13.95070877,0.266111,0.54,0.180454545,,0.262581,107.0545926,,0.2647,,,"depth, RTD, SRL, Diam from groot",,"Biddulph, Matador, ORE IDE AA",Polemoniaceae,FORB,PERENNIAL,FORB,
PHALARIS ARUNDINACEA,Accepted,PHALARIS ARUNDINACEA,,3366,440.7868865,27.64461715,1.564054762,,,0.701935479,21.45431499,,0.3556,0.181670595,,0.501684075,159.3597052,6.690374665,0.252341667,,,"RTD, SRL, Diam from groot",,Teshio Experimental Grassland,Poaceae,GRASS,PERENNIAL,GRASS,
PTERIDIUM AQUILINUM,Accepted,PTERIDIUM AQUILINUM,,40522,493,21.68333333,1.99667,481.8875599,9.852689835,0.001,16.98656271,0.263333333,0.254,0.184848485,,0.298,53.87484386,,0.2511,,,"RootC and N, RTD, SRL, diam from groot",,"Lygra_intermediate, Sandhills",Dennstaedtiaceae,FERN,NULL,FORB,
BRACHYPODIUM PINNATUM,Accepted,BRACHYPODIUM PINNATUM,,1898,458.9566667,18.10766667,0.540866667,407.9,7.10106212,2.925156667,23.9927357,0.131,0.1,0.186379697,,0.362333333,207.6695041,,0.22129993,,,"RootC and N, RTD, SRL, Diam from Groot",,"Allmend Brachy, Allmend Ovina, Pineta, ",Poaceae,GRASS,PERENNIAL,GRASS,
TEUCRIUM CHAMAEDRYS,Accepted,TEUCRIUM CHAMAEDRYS,,136.03,490.1,16,0.190683889,435.9,19.69,1.3875,14.12995424,0.26446,1.62,0.187321285,,0.302288889,149.5449877,,0.264622222,,,"RootC and N, RTD, SRL, diam from groot",,"Allmend Brachy, Allmend Ovina",Lamiaceae,SHRUB,PERENNIAL,WOODY,
PILOSELLA PILOSELLOIDES,Accepted,PILOSELLA PILOSELLOIDES,,589.85,,,0.455,,,0.72,27.17333333,,,0.187679414,,0.208311667,13.38170314,,,,,"RTD, SRL from groot",,Bayreuth_DroughtNet,Compositae,FORB,PERENNIAL,FORB,
BOUTELOUA CURTIPENDULA,Accepted,BOUTELOUA CURTIPENDULA,,408.076,416.8633333,8.7,0.427,385.48,8.84,0.583,14.60867,0.19,0.3048,0.19,,0.4105,94.40056667,0.007539553,0.032,,,,"SRL, RootC and N from Groot","Cedar Creek Savanna, Cedar Creek Trait, Konza Drt ",Poaceae,GRASS,PERENNIAL,GRASS,
HELIANTHUS PAUCIFLORUS,Accepted,HELIANTHUS PAUCIFLORUS,,,,,0.39,,,,9.153001144,0.55,1.27,0.19,,,52,,0.36,,0.179688157,"RTD, SLR, depth, diam from groot",,"Brookdale, Konza Drt",Compositae,NULL,NULL,FORB,
SOLIDAGO SPECIOSA,Accepted,SOLIDAGO SPECIOSA,,421.63,451.3,10.8,0.7403,,8.9032965,0.25,8.834,0.38,,0.19,,0.34334,57,,0.38,,,"RootN, RTD, SRL,diam from groot",,Purdue Wildlife Area,Compositae,FORB,NULL,FORB,
HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM,Misapplied,Helianthemum cinereum,"updated taxon name is listed above, at different sites",,438.7,17.1,,,6.27,1.24,14.70769,,1.63,0.1910333,,0.273,180,,1.555,,,RootN from groot,,"Allmend Brachy, Allmend Ovina",Cistaceae,SHRUB,PERENNIAL,WOODY,
LATHYRUS VENOSUS,Accepted,LATHYRUS VENOSUS,,1858.460121,462.118,30.13845455,0.3533,,,35.13,18.46365493,,,0.194444444,,,46.82957143,,0.3725,,0.064433732,"RTD, SRL, Diam from groot",,"Brookdale, Cedar Creek Savanna",Fabaceae,LEGUME,PERENNIAL,LEGUME,
VICIA CRACCA,Accepted,VICIA CRACCA,,971.5,477.0167024,41.79727454,0.879038889,419.0870368,24.42381,14.64883285,26.81365133,,0.3048,0.195683333,,0.270853086,41.43187551,,0.463024976,,,"rootC, RTD, SRL, diam from groot",,"Bayreuth_DroughtNet, EE Elva",Fabaceae,LEGUME,PERENNIAL,LEGUME,
TRICHOPHORUM CESPITOSUM,Accepted,TRICHOPHORUM CESPITOSUM,,,,15.3,0.4,458.1,4.4,0.36,3.79,0.811,0.1,0.199,,0.4072,35.47,,0.425,,,"RootC and N, depth, SRL, diam from groot",,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,
AGROSTIS SCABRA,Accepted,AGROSTIS SCABRA,,,,8.00326776,0.274,,12.3048825,0.0647,9.409573332,0.16,0.3048,0.2,,0.4954,109,,0.21,41.65174333,0.112495427,"Diam, RootN, RTD, SRL from Groot",,"Cedar Creek Trait, Kernen_burned, Kernen_unburned, Kinsella, Mattheis",Poaceae,GRASS,PERENNIAL,GRASS,
ANDROPOGON GERARDII,Accepted,ANDROPOGON GERARDII,,1622.15395,459.365622,11.43191184,1.43,413.4,14.4,2.286543361,7.475763032,0.12,0.508,0.2,,0.352528624,65.1,,0.7,,0.498362777,RTD and SRL from Justin,RL from Groot,"Brookdale, Cedar Creek Savanna, Cedar Creek Trait, Konza Drt, Purdue Wildlife Area",Poaceae,GRASS,PERENNIAL,GRASS,
MOLINIA CAERULEA,Accepted,MOLINIA CAERULEA,,1037.975,474.1266667,19.7245873,0.699125,463.9539345,8.366751778,0.704873333,17.87260174,,0.8,0.20066,,0.3747825,56.8752851,,0.269333333,,,"RootC and N ,depth,SRL, Diam from groot",,"Lygra_intermediate, Lygra_old",Poaceae,GRASS,NULL,GRASS,
SALVIA PRATENSIS,Accepted,SALVIA PRATENSIS,,6575.938,,19.3,0.520833333,,,2.13107037,24.4875,,2.1,0.2015038,,0.171,272.308,,2.015308,,,,,"Allmend Brachy, Allmend Ovina",Lamiaceae,FORB,PERENNIAL,FORB,
JUNCUS EFFUSUS,Accepted,JUNCUS EFFUSUS,,1989.785627,448.9884892,12.64837681,1.1116225,442.0371023,9.325765248,0.018735185,8.991914828,3,0.6096,0.202890258,,0.270228,42.24025782,1.714746667,0.56575,,,"RootC and N, RTD, SRL, Diam from groot",,Teshio Experimental Grassland,Juncaceae,GRAMINOID,PERENNIAL,GRAMINOID,
PASCOPYRUM SMITHII,Synonym,ELYMUS SMITHII,"synonym already list, at different sites",940.1166667,442.534,16.774,0.525,369.58,11.28,4.759,12.75359048,0.23,1.703333,0.206075395,,0.38295,21.32212,,0.175766667,,,"RootC and N, RTD , Diam from groot, SLA from Julie Larson",,"Kernen_burned, Kernen_unburned, Kinsella, Matador, Mattheis",Poaceae,GRAMINOID,PERENNIAL,GRASS,
TEUCRIUM MONTANUM,Accepted,TEUCRIUM MONTANUM,,45.01666667,512,14,0.275,,,0.58,18.07333333,,0.58,0.2073636,,0.264423333,207.273,,1.689015,,,,,Allmend Ovina,Lamiaceae,SHRUB,PERENNIAL,WOODY,
SOLIDAGO MISSOURIENSIS,Accepted,SOLIDAGO MISSOURIENSIS,,887.7354722,468.1775,13.3335,0.576,449.4,10.93,0.278324477,10.60804205,0.29,0.2032,0.208174196,,,100.2127031,,0.323716667,,,"RTD, SRL,diam from groot",,"Biddulph, Cedar Creek Savanna, Kernen_burned, Kernen_unburned, Kinsella, Konza Drt",Compositae,FORB,PERENNIAL,FORB,
FESTUCA ARUNDINACEA,Accepted,FESTUCA ARUNDINACEA,,4002.5,395.5833334,26.75,0.922297147,410.4,9.306666667,2.430847857,16.0977261,0.434,1.415,0.208261132,,0.237319638,167.503371,,0.383552278,,,"RootC and N, depth, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina, Las Chilcas Drt, Mar Chiquita Drt, San Claudio",Poaceae,GRASS,PERENNIAL,GRASS,
HOLCUS LANATUS,Accepted,HOLCUS LANATUS,,510.98174,419.9340741,24.56210683,0.554013615,413.5083333,9.716666667,0.373637147,33.50183772,0.1525,0.1016,0.210999112,,0.211867351,311.996707,,0.116666667,,0.11556187,"RTD, SRL from groot",,"Bayreuth_DroughtNet, Rhijnauwen, SantaCruzHigh",Poaceae,GRASS,PERENNIAL,GRASS,
PRUNUS SEROTINA,Accepted,PRUNUS SEROTINA,,2543.644611,468.9835455,23.82666526,16.68757143,,1.37,110.8304801,18.67550715,0.147803736,0.9144,0.211926394,,0.321963135,22.99360276,,0.523048214,,,"RootC, RTD, SRL, diam from groot",,Indiana University RTP,Rosaceae,TREE,PERENNIAL,WOODY,
AGROSTIS STOLONIFERA,Accepted,AGROSTIS STOLONIFERA,,253.3799833,408.7144974,31.5111841,0.414942857,415.1,6.2,0.051948333,31.65060428,0.138666667,0.3048,0.212659866,,0.299178871,353.7043306,13.29527111,0.1,,,"RTD, SRL from Groot",,"Cedar Creek Trait, EE Elva",Poaceae,GRASS,PERENNIAL,GRASS,
HIERACIUM PILOSELLA,Synonym,PILOSELLA OFFICINARUM,Synonym,295,471.72,23.22,,388.85,7.224859855,,18.62857,,0.47,0.212738048,,0.098724,100.7034183,,0.365217075,,,"RootC and N, RTD, SLR, Diam from groot",,Bayreuth_DroughtNet,Compositae,FORB,PERENNIAL,FORB,
SOLIDAGO RIGIDA,Accepted,SOLIDAGO RIGIDA,,,,11.83477126,0.598,,8.386758333,0.604064051,10.23214847,0.435,0.3048,0.212780118,,0.257875376,35.33592984,,0.482373411,,,"RootN, RTD, SRL,diam from groot",,"Brookdale, Cedar Creek Trait, Oklahoma (KAEFS-OK)",Compositae,FORB,PERENNIAL,FORB,
LACTUCA TATARICA,Accepted,LACTUCA TATARICA,,1329.333333,,22.6,0.625,,,0.91,18.07666667,,2.4,0.213227444,,0.160723333,77.19169246,,,,,"RTD, SRL from groot",,"Kernen_burned, Kernen_unburned",Compositae,FORB,PERENNIAL,FORB,
SONCHUS ARVENSIS,Accepted,SONCHUS ARVENSIS,,12192,482.3,26.4,1.1875,,,0.594027778,21,0.17,0.56,0.219369,,0.109333333,40.215,,,,,,,"Brookdale, ESW, Kernen_burned, Kernen_unburned",Compositae,FORB,PERENNIAL,FORB,
CAREX NIGRA,Accepted,CAREX NIGRA,,159.1766667,461.6261691,24.40009307,0.388666667,477.1694485,6.648625922,0.746409524,20.83559904,0.1935,0.78,0.2198095,,0.338250914,52.8,,0.2421,,,,,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,
